input,pred_missing_id (0_indexed),generated_sentence,pred_story,gt_missing_id (0_indexed),gt_sentence,gt_story,questionid,A,B,GT,Generated,amt_answers
del and his friends would have speed-writing competitions. it began as just doing simultaneous quickwrites. but then they started doing time trials. they wanted to see who could write a full story the fastest.,4,"they were both slow, but happy to be done in a few minutes.","del and his friends would have speed-writing competitions. it began as just doing simultaneous quickwrites. but then they started doing time trials. they wanted to see who could write a full story the fastest. they were both slow, but happy to be done in a few minutes.",4,"Del won in perpetuity when he wrote a full story, one sentence long.","del and his friends would have speed-writing competitions. it began as just doing simultaneous quickwrites. but then they started doing time trials. they wanted to see who could write a full story the fastest. del won in perpetuity when he wrote a full story, one sentence long.",87a0eaa3-2859-4cf0-bc5c-d824ef463c5e,"del and his friends would have speed-writing competitions. it began as just doing simultaneous quickwrites. but then they started doing time trials. they wanted to see who could write a full story the fastest. del won in perpetuity when he wrote a full story, one sentence long.","del and his friends would have speed-writing competitions. it began as just doing simultaneous quickwrites. but then they started doing time trials. they wanted to see who could write a full story the fastest. they were both slow, but happy to be done in a few minutes.",A,B,B A both both both
kelly wanted to become a doctor. so she went to college to learn the skills needed. when kelly graduated she had a lot of student loans to pay back. luckily kelly got a job at a really good hospital.,4,she was able to get a full ride from her parents and get her license.,kelly wanted to become a doctor. so she went to college to learn the skills needed. when kelly graduated she had a lot of student loans to pay back. luckily kelly got a job at a really good hospital. she was able to get a full ride from her parents and get her license.,4,Now Kelly can pay off her student loans.,kelly wanted to become a doctor. so she went to college to learn the skills needed. when kelly graduated she had a lot of student loans to pay back. luckily kelly got a job at a really good hospital. now kelly can pay off her student loans.,4dbdf186-1a0a-4132-9876-d511883d1180,kelly wanted to become a doctor. so she went to college to learn the skills needed. when kelly graduated she had a lot of student loans to pay back. luckily kelly got a job at a really good hospital. she was able to get a full ride from her parents and get her license.,kelly wanted to become a doctor. so she went to college to learn the skills needed. when kelly graduated she had a lot of student loans to pay back. luckily kelly got a job at a really good hospital. now kelly can pay off her student loans.,B,A,B B B B B
"he is 12 months old and such a sweet little man. for two days i was teaching him how to wave, both hello and goodbye. kenden didn't wave by himself at all at my house. the minute my daughter got him home, he waved by himself at the dogs!",0,my son - in - law has a very sensitive nose.,"my son - in - law has a very sensitive nose. he is 12 months old and such a sweet little man. for two days i was teaching him how to wave, both hello and goodbye. kenden didn't wave by himself at all at my house. the minute my daughter got him home, he waved by himself at the dogs!",0,"I had my baby grandson, Kenden, for Thanksgiving.","i had my baby grandson, kenden, for thanksgiving. he is 12 months old and such a sweet little man. for two days i was teaching him how to wave, both hello and goodbye. kenden didn't wave by himself at all at my house. the minute my daughter got him home, he waved by himself at the dogs!",e37085c0-c489-4f6f-a71a-d9d288f6008b,"my son - in - law has a very sensitive nose. he is 12 months old and such a sweet little man. for two days i was teaching him how to wave, both hello and goodbye. kenden didn't wave by himself at all at my house. the minute my daughter got him home, he waved by himself at the dogs!","i had my baby grandson, kenden, for thanksgiving. he is 12 months old and such a sweet little man. for two days i was teaching him how to wave, both hello and goodbye. kenden didn't wave by himself at all at my house. the minute my daughter got him home, he waved by himself at the dogs!",B,A,neither B B B B
my sister and i surprised him with some tickets to a ball game. the whole family went and watched the game. everyone had a great time especially dad. we go to the ball game once a month now.,0,my family was excited to go to the baseball game.,my family was excited to go to the baseball game. my sister and i surprised him with some tickets to a ball game. the whole family went and watched the game. everyone had a great time especially dad. we go to the ball game once a month now.,0,My father was saying that he hasn't seen a baseball game in years.,my father was saying that he hasn't seen a baseball game in years. my sister and i surprised him with some tickets to a ball game. the whole family went and watched the game. everyone had a great time especially dad. we go to the ball game once a month now.,dc476054-b5d6-415e-817b-edf62ca02acc,my family was excited to go to the baseball game. my sister and i surprised him with some tickets to a ball game. the whole family went and watched the game. everyone had a great time especially dad. we go to the ball game once a month now.,my father was saying that he hasn't seen a baseball game in years. my sister and i surprised him with some tickets to a ball game. the whole family went and watched the game. everyone had a great time especially dad. we go to the ball game once a month now.,B,A,both B both B B
"pearl was meeting friends that night in a bar. she had to go to the police station to report her missing purse. and when she finally arrived at the bar, her friends were worried. her ordeal provided a conversation that lasted long into the night.",1,she was very nervous and decided to leave early.,"pearl was meeting friends that night in a bar. she was very nervous and decided to leave early. she had to go to the police station to report her missing purse. and when she finally arrived at the bar, her friends were worried. her ordeal provided a conversation that lasted long into the night.",1,"But before she got there, she was attacked in the street.","pearl was meeting friends that night in a bar. but before she got there, she was attacked in the street. she had to go to the police station to report her missing purse. and when she finally arrived at the bar, her friends were worried. her ordeal provided a conversation that lasted long into the night.",be77e52f-adf6-4a6c-8519-16d220dca661,"pearl was meeting friends that night in a bar. but before she got there, she was attacked in the street. she had to go to the police station to report her missing purse. and when she finally arrived at the bar, her friends were worried. her ordeal provided a conversation that lasted long into the night.","pearl was meeting friends that night in a bar. she was very nervous and decided to leave early. she had to go to the police station to report her missing purse. and when she finally arrived at the bar, her friends were worried. her ordeal provided a conversation that lasted long into the night.",A,B,B A A A both
"at the airport, martha was accidentally given and extra ticket. be bought one for chicago but the extra was for tibet. at first she thought that she would just return the tibet ticket. the more she looked at the ticket she had a harder time doing it.",4,she was disappointed to find out that the ticket was declined.,"at the airport, martha was accidentally given and extra ticket. be bought one for chicago but the extra was for tibet. at first she thought that she would just return the tibet ticket. the more she looked at the ticket she had a harder time doing it. she was disappointed to find out that the ticket was declined.",4,Martha ripped up her Chicago ticket and walked to gate 11.,"at the airport, martha was accidentally given and extra ticket. be bought one for chicago but the extra was for tibet. at first she thought that she would just return the tibet ticket. the more she looked at the ticket she had a harder time doing it. martha ripped up her chicago ticket and walked to gate 11.",b0e73dac-b24a-477e-8d29-6dc63d1368b1,"at the airport, martha was accidentally given and extra ticket. be bought one for chicago but the extra was for tibet. at first she thought that she would just return the tibet ticket. the more she looked at the ticket she had a harder time doing it. martha ripped up her chicago ticket and walked to gate 11.","at the airport, martha was accidentally given and extra ticket. be bought one for chicago but the extra was for tibet. at first she thought that she would just return the tibet ticket. the more she looked at the ticket she had a harder time doing it. she was disappointed to find out that the ticket was declined.",A,B,neither A both A A
"billy herrington liked to lift weights. in fact he had won medals for it. one day, billy's grandma died. he attempted to deadlift her coffin, but fell in her open grave.",4,he was very sad and cried for days.,"billy herrington liked to lift weights. in fact he had won medals for it. one day, billy's grandma died. he attempted to deadlift her coffin, but fell in her open grave. he was very sad and cried for days.",3,"Billy wept, and resolved to do the impossible.","billy herrington liked to lift weights. in fact he had won medals for it. one day, billy's grandma died. billy wept, and resolved to do the impossible. he attempted to deadlift her coffin, but fell in her open grave.",7cf27340-efe0-4564-b6f4-66686c0a203b,"billy herrington liked to lift weights. in fact he had won medals for it. one day, billy's grandma died. billy wept, and resolved to do the impossible. he attempted to deadlift her coffin, but fell in her open grave.","billy herrington liked to lift weights. in fact he had won medals for it. one day, billy's grandma died. he attempted to deadlift her coffin, but fell in her open grave. he was very sad and cried for days.",A,B,B both B A B
"josie was embarrassed. her carpet was filthy and company had just stopped by. she called a carpet cleaner to come over and clean her carpets. soon, they looked brand new again.",3,she was so happy to have a clean carpet!,"josie was embarrassed. her carpet was filthy and company had just stopped by. she called a carpet cleaner to come over and clean her carpets. she was so happy to have a clean carpet! soon, they looked brand new again.",4,Josie lectured her kids to keep the carpets clean in the future.,"josie was embarrassed. her carpet was filthy and company had just stopped by. she called a carpet cleaner to come over and clean her carpets. soon, they looked brand new again. josie lectured her kids to keep the carpets clean in the future.",2ee859ed-6f4e-4716-89ee-81a4c1a74125,"josie was embarrassed. her carpet was filthy and company had just stopped by. she called a carpet cleaner to come over and clean her carpets. she was so happy to have a clean carpet! soon, they looked brand new again.","josie was embarrassed. her carpet was filthy and company had just stopped by. she called a carpet cleaner to come over and clean her carpets. soon, they looked brand new again. josie lectured her kids to keep the carpets clean in the future.",B,A,neither both B B A
"my wife does daily massages. she does them on a bed, with my help. she lay beside my wife until she was done with the massages. i call her a one person cat.",1,she has been lying on the floor for a few minutes.,"my wife does daily massages. she has been lying on the floor for a few minutes. she does them on a bed, with my help. she lay beside my wife until she was done with the massages. i call her a one person cat.",2,Today our cat was curious.,"my wife does daily massages. she does them on a bed, with my help. today our cat was curious. she lay beside my wife until she was done with the massages. i call her a one person cat.",3a90dbfd-2503-40de-ab94-dc73460721da,"my wife does daily massages. she has been lying on the floor for a few minutes. she does them on a bed, with my help. she lay beside my wife until she was done with the massages. i call her a one person cat.","my wife does daily massages. she does them on a bed, with my help. today our cat was curious. she lay beside my wife until she was done with the massages. i call her a one person cat.",B,A,neither B B B both
he went to the animal shelter and looked around. he saw a tiny kitten with big green eyes. he pet him slowly and the cat hissed. ross went back home traumatized and saw he wasn't ready to have a cat.,0,the cat was hungry and hungry.,the cat was hungry and hungry. he went to the animal shelter and looked around. he saw a tiny kitten with big green eyes. he pet him slowly and the cat hissed. ross went back home traumatized and saw he wasn't ready to have a cat.,0,Ross felt ready to have a cat.,ross felt ready to have a cat. he went to the animal shelter and looked around. he saw a tiny kitten with big green eyes. he pet him slowly and the cat hissed. ross went back home traumatized and saw he wasn't ready to have a cat.,24cad594-10d3-4a3a-93db-5f4db39835fc,the cat was hungry and hungry. he went to the animal shelter and looked around. he saw a tiny kitten with big green eyes. he pet him slowly and the cat hissed. ross went back home traumatized and saw he wasn't ready to have a cat.,ross felt ready to have a cat. he went to the animal shelter and looked around. he saw a tiny kitten with big green eyes. he pet him slowly and the cat hissed. ross went back home traumatized and saw he wasn't ready to have a cat.,B,A,B B B B both
